Property Name,URI,Label,Domain,Range,Is Functional,Is Inverse Functional,Inverse Of,Sub-property Of (list),Comment
FeatureInverting_owningFeature,https://www.omg.org/spec/SysML#FeatureInverting_owningFeature,owningFeature,FeatureInverting,Feature,Yes,No,,FeatureInverting_featureInverted | Relationship_owningRelatedElement,<p>A <code>featureInverted</code> that is also the <code>owningRelatedElement</code> of this <code>FeatureInverting</code>.</p>
FeatureMembership_ownedMemberFeature,https://www.omg.org/spec/SysML#FeatureMembership_ownedMemberFeature,ownedMemberFeature,FeatureMembership,Feature,Yes,No,,Featuring_feature | OwningMembership_ownedMemberElement,"<p>The <code>Feature</code> that this <code>FeatureMembership</code> relates to its <code>owningType</code>, making it an <code>ownedFeature</code> of the <code>owningType</code>.</p>"
FeatureMembership_owningType,https://www.omg.org/spec/SysML#FeatureMembership_owningType,owningType,FeatureMembership,Type,Yes,No,,Featuring_type | Membership_membershipOwningNamespace,<p>The <code>Type</code> that owns this <code>FeatureMembership</code>.</p>
FeatureTyping_owningFeature,https://www.omg.org/spec/SysML#FeatureTyping_owningFeature,owningFeature,FeatureTyping,Feature,Yes,No,,FeatureTyping_typedFeature | Specialization_owningType,<p>A <code>typedFeature</code> that is also the <code>owningRelatedElement</code> of this <code>FeatureTyping</code>.</p>
Feature_ownedFeatureChaining,https://www.omg.org/spec/SysML#Feature_ownedFeatureChaining,ownedFeatureChaining,Feature,FeatureChaining,Yes,No,FeatureChaining_featureChained,,"<p>The <code>ownedRelationships</code> of this <code>Feature</code> that are <code>FeatureChainings</code>, for which the <code>Feature</code> will be the <code>featureChained</code>.</p>"
Feature_ownedFeatureInverting,https://www.omg.org/spec/SysML#Feature_ownedFeatureInverting,ownedFeatureInverting,Feature,FeatureInverting,Yes,No,FeatureInverting_owningFeature,,<p>The <code>ownedRelationships</code> of this <code>Feature</code> that are <code>FeatureInvertings</code> and for which the <code>Feature</code> is the <code>featureInverted</code>.</p>
Feature_ownedRedefinition,https://www.omg.org/spec/SysML#Feature_ownedRedefinition,ownedRedefinition,Feature,Redefinition,No,No,,Feature_ownedSubsetting,"<p>The <code>ownedSubsettings</code> of this <code>Feature</code> that are <code>Redefinitions</code>, for which the <code>Feature</code> is the <code>redefiningFeature</code>.</p>"
Feature_ownedReferenceSubsetting,https://www.omg.org/spec/SysML#Feature_ownedReferenceSubsetting,ownedReferenceSubsetting,Feature,ReferenceSubsetting,Yes,No,ReferenceSubsetting_referencingFeature,,"<p>The one <code>ownedSubsetting</code> of this <code>Feature</code>, if any, that is a <code>ReferenceSubsetting</code>, for which the <code>Feature</code> is the <code>referencingFeature</code>.</p>"
Feature_ownedSubsetting,https://www.omg.org/spec/SysML#Feature_ownedSubsetting,ownedSubsetting,Feature,Subsetting,Yes,No,Subsetting_owningFeature,,"<p>The <code>ownedSpecializations</code> of this <code>Feature</code> that are <code>Subsettings</code>, for which the <code>Feature</code> is the <code>subsettingFeature</code>.</p>"
Feature_ownedTypeFeaturing,https://www.omg.org/spec/SysML#Feature_ownedTypeFeaturing,ownedTypeFeaturing,Feature,TypeFeaturing,Yes,No,TypeFeaturing_owningFeatureOfType,,<p>The <code>ownedRelationships</code> of this <code>Feature</code> that are <code>TypeFeaturings</code> and for which the <code>Feature</code> is the <code>featureOfType</code>.</p>
